Modelo,Umbral,Precisión,Recall,Especificidad,F1 Score,Accuracy,AUC-ROC,TP,TN,FP,FN
Logistic Regression,0.61,0.1852394916911046,0.31902356902356904,0.8563426404688038,0.23438466295609153,0.8064415259537211,0.6342735858527827,379,9937,1667,809
KNN Classifier,0.14,0.17212069698257543,0.3409090909090909,0.832126852809376,0.22874894097712511,0.7865071919949969,0.6306769942908343,405,9656,1948,783
SVM Classifier,0.1,0.11377076879752182,0.3400673400673401,0.7288004136504653,0.17050010550749103,0.6926985616010006,0.5487444028356645,404,8457,3147,784
Decision Tree,0.11,0.1681614349775785,0.3787878787878788,0.8081695966907962,0.2329192546583851,0.7682926829268293,0.6280550463267629,450,9378,2226,738
Neural Network (MLP),0.15,0.20469596628537026,0.28619528619528617,0.8861599448466047,0.2386802386802387,0.8304409005628518,0.6413527365462043,340,10283,1321,848
Random Forest,0.13,0.19181232750689972,0.351010101010101,0.8485866942433643,0.2480666270077335,0.8023764853033146,0.6484453796264378,417,9847,1757,771
LightGBM,0.6,0.21774701069855254,0.29124579124579125,0.8928817649086522,0.24918977313647822,0.8370075046904315,0.647373895510314,346,10361,1243,842
Ensemble Hard Voting,≥4 votos,0.20120284308365227,0.30976430976430974,0.8740951396070321,0.24395094464700035,0.8216854283927455,0.6492785707819316,368,10143,1461,820
Ensemble Soft Voting,0.27,0.20950200343445907,0.30808080808080807,0.880989314029645,0.2494037478705281,0.8277829893683553,0.6492785707819316,366,10223,1381,822
